"Alana Bates",,,,
"Andrew Caird",,,,
"Andrew George","Q391275","2019 United Kingdom general election","St Ives","Liberal Democrats"
"Arthur Maddison",,,,
"Bruce Tidy",,,,
"Charles Frederick Giesler",,,,
"Christian Mitchell",,,,
"Christopher Drew",,,,
"Christopher Fegan",,,,
"Colin Murley",,,,
"Cornelius Olivier",,,,
"Duncan Longden",,,,
"Edward Vivian",,,,
"Edwin Ley",,,,
"Eric Farquhar Allison",,,,
"Francis Hearle Stephens",,,,
"Frederick Stephens",,,,
"G. T. Taylor",,,,
"Gerald Edward Leaman Whitmarsh",,,,
"Graham Calderwood",,,,
"Graham Stephens",,,,
"H. Hoptrough",,,,
"Howard Levett Fry","Q98558097","1964 United Kingdom general election","Wells","Liberal Party"
"Howard Levett Fry","Q98558097","1966 United Kingdom general election","Wells","Liberal Party"
"Hugh Carter",,,,
"Ian Flindall",,,,
"Ian Hope",,,,
"J. Cotton",,,,
"Joanna Richardson",,,,
"John Bedford Bolitho",,,,
"John C. T. Trewin",,,,
"John Dennis Gilbert Kellock",,,,
"John Harris",,,,
"Johnathan Rogers",,,,
"Katrina Slack",,,,
"Kevin Lippiat",,,,
"Leslie Statton Pawley",,,,
"Mary Crowley",,,,
"Maureen Castle",,,,
"Michael Dooley",,,,
"Michael Faulkner",,,,
"Patricia Garnier",,,,
"Pedyr Prior",,,,
"Philip Edward Barnes",,,,
"Philippa Latimer",,,,
"R. D. Evans",,,,
"Rob Simmons",,,,
"Robert Smith","Q76729332","2019 United Kingdom general election","Orkney and Shetland","Brexit Party"
"Roland Edmund Lomax Vaughan-Williams",,,,
"Samuel Barrow",,,,
"Simon Reed",,,,
"Stephen Warren",,,,
"Terence Tonkin",,,,
"Thomas F. G. Jones",,,,
"Thomas Francis Tregoy Mitchell",,,,
"Tim Andrewes",,,,
"William Cole Pendarves",,,,
"William Edward Arnold-Forster",,,,
"William Hitchins",,,,
"William Morris",,,,
"William Rogers","Q19878081","Mount Barker colonial by-election, 1858","Mount Barker",
